Data,Brasil,São Paulo,Rio de Janeiro,Espírito Santo,Bahia,Distrito Federal,Alagoas,Minas Gerais,Rio Grande do Sul,Paraná,Pernambuco,Rio Grande do Norte,Santa Catarina,Goiás,Amazonas,Sergipe,Mato Grosso do Sul,Ceará,Acre,Pará,Paraíba,Tocantins,Mato Grosso,Amapá,Rondônia,Piauí,Maranhão,Roraima
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,13,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,13,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,25,16,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,25,16,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,34,19,8,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,52,30,13,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,77,42,16,1,2,2,1,1,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,98,56,16,1,2,2,1,2,4,6,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,121,65,22,1,2,6,1,2,6,6,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,200,136,24,1,2,8,1,2,6,6,2,1,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,234,152,31,1,2,13,1,5,6,6,2,1,7,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,291,164,33,1,3,22,1,7,10,6,16,1,7,6,1,4,4,5,0,0,0,0,0,0,0,0,0,0
2020-03-18,428,240,45,9,3,26,1,15,19,13,16,1,10,8,1,5,7,9,0,0,0,0,0,0,0,0,0,0
2020-03-19,621,286,65,11,30,42,4,29,28,23,28,1,20,12,3,6,7,20,3,1,1,1,0,0,0,0,0,0
2020-03-20,904,396,109,13,33,87,5,35,37,32,30,1,21,15,3,6,9,55,7,2,1,1,1,1,1,3,0,0
2020-03-21,1128,459,119,26,41,100,7,38,60,43,30,6,51,20,11,10,16,68,9,2,1,2,2,1,1,4,1,0
